objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,,,,,,,,,
coll001,sound001.mp3,,,Airport,ZapSplat,2021-08-06,Sounds of City,urban,"Chicago, New York City",,,,,,audio/mp3,eng,Public domain,,,,,,,,,,
coll002,sound002.mp3,,,Basketball,ZapSplat,2021-08-07,Sounds of City,urban,"Chicago, New York City",,,,,,audio/mp4,eng,Public domain,,,,,,,,,,
coll003,sound003.mp3,,,Bus,ZapSplat,2021-08-08,Sounds of City,urban,"Chicago, New York City",,,,,,audio/mp5,eng,Public domain,,,,,,,,,,
coll004,sound004.mp6,,,Road,ZapSplat,2021-08-09,Sounds of City,urban,"Chicago, New York City",,,,,,audio/mp6,eng,Public domain,,,,,,,,,,
coll005,sound005.mp3,,,Construction,ZapSplat,2021-08-10,Sounds of City,urban,"Chicago, New York City",,,,,,audio/mp7,eng,Public domain,,,,,,,,,,
coll006,sound006.mp3,,,Subway,ZapSplat,2021-08-11,Sounds of City,urban,"Chicago, New York City",,,,,,audio/mp8,eng,Public domain,,,,,,,,,,
coll007,sound007.mp3,,,Police,ZapSplat,2021-08-12,Sounds of City,urban,"Chicago, New York City",,,,,,audio/mp9,eng,Public domain,,,,,,,,,,
coll008,sound008.mp3,,,Seagulls,ZapSplat,2021-08-13,Sounds of City,urban,"Chicago, New York City",,,,,,audio/mp10,eng,Public domain,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
